,0,1,2
0,50,41,1
1,35,47,0
2,48,49,1
3,75,43,2
4,95,31,3
5,94,45,3
6,83,34,3
7,41,27,1
8,74,28,2
9,38,50,0
10,95,38,3
11,50,40,1
12,96,35,3
13,46,31,1
14,52,26,1
15,77,36,2
16,93,25,3
17,35,40,0
18,60,46,1
19,42,28,1
20,25,39,0
21,64,40,2
22,31,30,0
23,53,40,1
24,90,39,3
25,48,31,1
26,44,26,1
27,55,29,1
28,94,43,3
29,96,41,3
30,75,45,2
31,90,39,3
32,45,31,1
33,53,47,1
34,89,31,3
35,34,36,0
36,91,29,3
37,74,48,2
38,42,41,1
39,87,27,3
40,77,44,2
41,46,43,1
42,57,28,1
43,67,43,2
44,34,34,0
45,76,38,2
46,72,36,2
47,67,36,2
48,47,34,1
49,52,41,1
50,85,32,3
51,90,32,3
52,51,28,1
53,69,26,2
54,42,29,1
55,99,26,3
56,53,39,1
57,36,27,0
58,23,35,0
59,88,38,3
60,55,44,1
61,35,27,0
62,39,46,0
63,80,49,2
64,57,50,1
65,70,25,2
66,52,50,1
67,79,43,2
68,99,27,3
69,89,31,3
70,98,38,3
71,84,42,3
72,45,49,1
73,81,28,3
74,25,30,0
75,50,48,1
76,50,36,1
77,54,34,1
78,43,26,1
79,85,41,3
80,72,39,2
81,91,25,3
82,40,42,0
83,20,34,0
84,26,41,0
85,36,26,0
86,71,28,2
87,23,31,0
88,92,30,3
89,55,42,1
90,61,26,2
91,50,32,1
92,33,36,0
93,91,45,3
94,48,42,1
95,94,29,3
96,44,33,1
97,69,41,2
98,90,31,3
99,37,41,0
100,29,42,0
101,75,28,2
102,47,44,1
103,74,26,2
104,100,48,3
105,25,38,0
106,21,32,0
107,40,37,0
108,81,45,3
109,55,27,1
110,49,30,1
111,80,49,2
112,97,36,3
113,78,31,2
114,83,42,3
115,25,41,0
116,20,36,0
117,90,47,3
118,37,42,0
119,24,48,0
120,97,27,3
121,26,26,0
122,55,37,1
123,35,29,0
124,45,47,1
125,83,32,3
126,47,29,1
127,95,27,3
128,31,31,0
129,88,27,3
130,98,49,3
131,46,49,1
132,35,49,0
133,77,41,2
134,35,28,0
135,30,47,0
136,94,47,3
137,81,25,3
138,69,45,2
139,59,46,1
140,93,39,3
141,86,29,3
142,43,26,1
143,24,28,0
144,63,26,2
145,26,36,0
146,29,42,0
147,32,48,0
148,41,49,1
149,20,49,0
150,47,48,1
151,46,41,1
152,98,34,3
153,84,43,3
154,47,42,1
155,84,31,3
156,87,47,3
157,36,36,0
158,26,36,0
159,90,34,3
160,100,49,3
161,60,34,1
162,86,46,3
163,48,47,1
164,47,42,1
165,87,40,3
166,20,44,0
167,92,34,3
168,35,42,0
169,54,45,1
170,69,29,2
171,77,37,2
172,52,45,1
173,38,40,0
174,61,48,2
175,95,28,3
176,72,29,2
177,27,36,0
178,51,39,1
179,62,27,2
180,76,39,2
181,77,49,2
182,33,42,0
183,58,38,1
184,99,35,3
185,35,47,0
186,96,49,3
187,25,50,0
188,91,31,3
189,20,38,0
190,37,46,0
191,26,28,0
192,76,45,2
193,62,41,2
194,88,29,3
195,85,33,3
196,52,42,1
197,92,39,3
198,93,37,3
199,96,42,3
200,33,28,0
201,63,45,2
202,73,49,2
203,50,45,1
204,98,48,3
205,61,28,2
206,60,25,1
207,100,49,3
208,99,50,3
209,23,32,0
210,32,31,0
211,35,41,0
212,24,35,0
213,32,32,0
214,59,41,1
215,60,30,1
216,89,33,3
217,77,37,2
218,73,47,2
219,33,27,0
220,77,35,2
221,76,32,2
222,65,50,2
223,53,36,1
224,33,42,0
225,99,45,3
226,74,46,2
227,79,36,2
228,41,46,1
229,72,27,2
230,46,28,1
231,32,25,0
232,26,43,0
233,52,42,1
234,64,43,2
235,73,37,2
236,45,27,1
237,27,50,0
238,52,30,1
239,69,35,2
240,94,28,3
241,100,27,3
242,100,26,3
243,73,39,2
244,56,34,1
245,68,35,2
246,92,36,3
247,72,39,2
248,94,47,3
249,24,38,0
250,84,34,3
251,100,27,3
252,25,35,0
253,67,30,2
254,23,25,0
255,94,47,3
256,42,50,1
257,44,33,1
258,41,32,1
259,91,28,3
260,100,40,3
261,67,32,2
262,68,41,2
263,25,37,0
264,20,31,0
265,26,36,0
266,39,42,0
267,76,50,2
268,34,34,0
269,95,35,3
270,77,25,2
271,83,25,3
272,23,33,0
273,92,33,3
274,51,32,1
275,53,48,1
276,95,39,3
277,46,38,1
278,79,46,2
279,22,41,0
280,41,39,1
281,34,25,0
282,30,39,0
283,46,26,1
284,51,32,1
285,96,38,3
286,25,32,0
287,73,37,2
288,34,35,0
289,82,47,3
290,39,40,0
291,75,37,2
292,59,26,1
293,21,37,0
294,22,30,0
295,48,49,1
296,51,48,1
297,29,39,0
298,30,40,0
299,23,46,0
